Name	Set	ImageFile	Type	Cost	Damage	Health	Rarity	Unique	Class	Text
Flying Motorbike	Adventures_at_Hogwarts	Flying_Motorbike.png	Spell	3T			U		Transfiguration	Choose an Adventure or Location in play and discard it. (If you discard an Adventure, you don't get the reward.)
Flying Practice	Adventures_at_Hogwarts	Flying_Practice.png	Adventure				U			Effect: Spell cards that need [Q] Power use up 2 of your opponent's Actions instead of 1.  To Solve: Your opponent discards 4 cards that need [Q] Power from his or her hand.  Opponent's Reward: You take 2 damage.
Flying to Hogwarts	Chamber_of_Secrets	Flying_to_Hogwarts.png	Adventure				R			Effect: Before each of your turns, your opponent takes 2 damage.  To Solve: Your opponent skips a total of 5 Actions. (They don't need to be one right after the other.)  Opponent's Reward: Your opponent may look at your hand, choose 1 of those cards and discard it.
Forbidden Corridor	Adventures_at_Hogwarts	Forbidden_Corridor.png	Location	6T			U	Unique	Transfiguration	When you play this card, discard any other Location from play (yours or your opponent's). Before each player's turn, he or she chooses 1 of his or her cards in play (other than his or her starting Character) and discards it. At the end of each player's turn, if he or she has no Lessons in play, discard this card.
Forest Troll	Base_Set	Forest_Troll.png	Creature - Troll	2F	2	3	C		Creatures	To play this card, discard 1 of your [F] Lessons from play.
Forgetfulness Potion	Base_Set	Forgetfulness_Potion.png	Spell	7P			C		Potions	To play this card, discard 1 of your [P] Lessons from play. During your opponent's next turn, he or she can't play cards.
Forgotten Password	Chamber_of_Secrets	Forgotten_Password.png	Spell	6C			U		Charms	During your opponent's next turn, he or she can't use Actions to play Lesson cards.
Foul Brew	Base_Set	Foul_Brew.png	Spell	5P			C		Potions	Do 2 damage to your opponent or to a Creature of your choice.
Fouled!	Quidditch_Cup	Fouled.png	Spell	4Q			C		Quidditch	Do 4 damage to your opponent. During your opponent's next turn, he or she gets 1 fewer Action. (If this would mean your opponent has fewer than 1 Action, he or she still gets 1 Action).
Fred & George Weasley	Quidditch_Cup	Fred_&_George_Weasley.png	Character - Wizard - Gryffindor				R	Unique		You may use 1 Action (instead of 2) to put an Adventure card from your hand into play, even if you already have one in play. If you already had one in play, discard the old one. (Nobody gets the reward.)
Freeze!	Diagon_Alley	Freeze.png	Spell	3C			C		Charms	Choose 1 of your opponent's Creatures in play and do 4 damage to it.
Freezing Charm	Chamber_of_Secrets	Freezing_Charm.png	Spell	7C			C		Charms	Do 4 damage to your opponent or to a Creature of your choice.
Frog-Spawn	Diagon_Alley	Frog-Spawn.png	Spell	2F			U		Creatures	During your opponent's next turn, prevent all damage done to your Creatures.
Fumos	Base_Set	Fumos.png	Spell	7C			U		Charms	Do 2 damage to each Creature (even your own).
Fungiface Potion	Adventures_at_Hogwarts	Fungiface_Potion.png	Spell	4P			C		Potions	To play this card, discard 1 of your [P] Lessons from play. Do 6 damage to your opponent or to a Creature of your choice.
Galleon	Adventures_at_Hogwarts	Galleon.png	Item - Money	10C			R		Charms	You can play only 1 Money card each turn. Before your turn, if this card is in play, discard it and your get 3 more Actions this turn.
Garden Gnome	Chamber_of_Secrets	Garden_Gnome.png	Creature - Gnome	4F		1	C		Creatures	At the end of each of your opponent's turns, if there are any cards in his or her hand, he or she chooses 1 of them and discards it.
Gaze into the Mirror	Quidditch_Cup	Gaze_into_the_Mirror.png	Adventure				R			Effect: During your opponent's turns, prevent all Spells damage done to you by Spell cards.  To Solve: Your opponent chooses 5 Spell cards in his or her hand and discards them.  Opponent's Reward: Your opponent gets 1 more Action (the turn this adventure is solved).
Giant Squid	Adventures_at_Hogwarts	Giant_Squid.png	Creature - Squid	10F	5	10	U		Creatures	
Giant Tarantula	Base_Set	Giant_Tarantula.png	Creature - Spider	1F	2	1	C		Creatures	To play this card, discard 1 of your [F] Lessons from play.
Ginny Weasley	Chamber_of_Secrets	Ginny_Weasley.png	Character - Witch - Gryffindor				R	Unique		Before each of your turns, count the number of other Characters you have in play. You may draw that many cards.
Golden Cauldron	Quidditch_Cup	Golden_Cauldron.png	Item - Cauldron	9P			R		Potions	Provides 5[P].  To play this card, return 2 of your [P] Lessons from play to your hand.
Golden Snitch	Quidditch_Cup	Golden_Snitch.png	Item	11Q			R		Quidditch	At the end of your opponent's turn, you win the game unless your opponent has at least 10 more cards in his or her deck than you do. (If he or she does, your opponent wins the game instead.)
Gone!	Quidditch_Cup	Gone.png	Spell	1C			C		Charms	Look at your opponent's hand. If there are any Creature cards there, choose one and discard it.
Good Night's Sleep	Diagon_Alley	Good_Night's_Sleep.png	Spell - Healing	10T			R		Transfiguration	Choose 1 of your Characters in play that has a 'once per game' ability you have already used. Use that ability.
Great Hall	Adventures_at_Hogwarts	Great_Hall.png	Location	2C			R	Unique	Charms	When you play this card, discard any other Location from play (yours or your opponent's). Before each player's turn, he or she draws a card.
Greenhouse Three	Chamber_of_Secrets	Greenhouse_Three.png	Location	5F			R	Unique	Creatures	When you play this card, discard any other Location from play (yours or your opponent's). Once during each player's turn, when he or she uses an action to play a Plant card, he or she gets 1 more Action that turn.
Gringotts	Diagon_Alley	Gringotts.png	Location	4C			R	Unique	Charms	When you play this card, discard an other Location from play (yours or your opponent's). Each player gets 1 more Action on each of his or her turns (including the turn you play this card).
Gringotts' Cart Ride	Base_Set	Gringotts'_Cart_Ride.png	Adventure				R			Effect: Before each of your opponent's turns, he or she chooses a card in his or her hand (if any) and discards it.  To Solve: Your opponent skips a total of 5 Actions. (Those Actions don't have to be one right after the other.)  Opponent's Reward: Your opponent may draw 5 cards.
Gringotts Vault Key	Diagon_Alley	Gringotts_Vault_Key.png	Spell	6C			R		Charms	Search your deck. You may take any card from your deck and put it into your hand. Then shuffle your deck.
Griphook	Diagon_Alley	Griphook.png	Character - Goblin				R	Unique		Once per game, you may make your opponent discard his or her hand. Then your opponent draws as many cards as he or she discarded in this way.
Gryffindor Common Room	Chamber_of_Secrets	Gryffindor_Common_Room.png	Location - Gryffindor	5T			R	Unique	Transfiguration	When you play this card, discard any other Location from play (yours or your opponent's). Before each player's turn, he or she counts the number of Gryffindor cards he or she has in play and may draw that many cards.
Gryffindor Lion	Chamber_of_Secrets	Gryffindor_Lion.png	Creature - Gryffindor - Lion	6F	3	3	C		Creatures	
Gryffindor Match	Diagon_Alley	Gryffindor_Match.png	Match	1Q			R		Quidditch	To Win: Do 12 damage to your opponent while this card is in play. (That damage doesn't have to be done all at once.)  Prize: The winner gets 2 more Actions during his or her next turn.
Guard Dog	Base_Set	Guard_Dog.png	Creature - Dog	7F	3	5	U		Creatures	
Guide to Household Pests	Chamber_of_Secrets	Guide_to_Household_Pests.png	Item - Book	2F			C		Creatures	Provides [F].  You may use an Action and discard this card from play to choose a Creature in play and do 4 damage to it.
Hagrid and the Stranger	Base_Set	Hagrid_and_the_Stranger.png	Spell	4F			C		Creatures	Put a Creature card from your discard pile into your hand.
Hagrid Needs Help	Quidditch_Cup	Hagrid_Needs_Help.png	Adventure				R			Effect: Your opponent gets 1 fewer Action on each of his or her turns (even the turn this Adventure is solved). (If this would mean your opponent has fewer than 1 Action, he or she still gets 1 Action.)  To Solve: Your opponent takes 8 damage.  Opponent's Reward: Your opponent may draw 3 cards.
Hagrid, Keeper of Keys	Diagon_Alley	Hagrid_Keeper_of_Keys.png	Character				R	Unique		You may use an Action to search your deck. You may take a Location card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Hagrid's House	Adventures_at_Hogwarts	Hagrid's_House.png	Location	3F			R	Unique	Creatures	When you play this card, discard any other Location from play (yours or your opponent's). Whenever a [F] Lesson (yours or your opponent's) is discarded from play, put it into its owner's hand.
Hagrid's Umbrella	Diagon_Alley	Hagrid's_Umbrella.png	Item - Wand	3C			R	Unique	Charms	Provides [C].  You may use an Action and discard this card from play to search your deck. You make take a Location card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck. If you play this card, and you already have a Wand in play, discard the old one.
Hair-Raising Potion	Chamber_of_Secrets	Hair-Raising_Potion.png	Spell	3P			C		Potions	Do 1 damage to your opponent or to a Creature of your choice.
Halloween Feast	Quidditch_Cup	Halloween_Feast.png	Spell	4C			R		Charms	Put up to 4 Creature cards from your discard pile into your hand.
Hannah Abbott	Base_Set	Hannah_Abbott.png	Character - Witch - Hufflepuff				R	Unique		Once per game you may trade 2 cards in your hand for 2 non-Healing cards in your discard pile.
Harry Hunting	Base_Set	Harry_Hunting.png	Adventure				R			Effect: Your opponent's Creature and Spell cards need 2 more Power to play.  To Solve: Your opponent chooses 7 cards in his or her hand and discards them.  Opponent's Reward: Your opponent may put a Lesson card from his or her discard pile into play.
Harry Potter	Base_Set	Harry_Potter.png	Character - Wizard - Gryffindor				R	Unique		Whenever you use an Action to draw a card, you may draw 2 cards instead of 1.
Harry the Seeker	Quidditch_Cup	Harry_the_Seeker.png	Character - Wizard - Gryffindor				R	Unique		Once during each of your turns, when you use an Action to play a [Q] Lesson, you may draw a card.
Harry Triumphant	Adventures_at_Hogwarts	Harry_Triumphant.png	Character - Wizard - Gryffindor				R	Unique		At the end of each of your turns, if you played an Adventure card that turn, draw up to 4 cards.
Harry, Second Year	Chamber_of_Secrets	Harry_Second_Year.png	Character - Wizard - Gryffindor				R	Unique		At the start of the game, if Harry, Second Year is your starting Character, secretly write down the name of a Creature, Item or Spell card.  If your opponent plays that card, you may reveal what you wrote down.  If you do, at the end of that turn, you may shuffle up to 20 non-Healing cards from your discard pile into your deck.
Hawkshead Formation	Chamber_of_Secrets	Hawkshead_Formation.png	Spell	7Q			C		Quidditch	Do 6 damage to your opponent.
Hebridean Black Dragon	Diagon_Alley	Hebridean_Black_Dragon.png	Creature - Dragon	8F	7	5	R		Creatures	To play this card, discard 1 of your [F] Lessons from play.
Hedwig	Diagon_Alley	Hedwig.png	Creature - Owl - Gryffindor	6F	1	2	R	Unique	Creatures	When you play this card, you may put a non-Healing card from your discard pile into your hand.
Hermione Granger	Base_Set	Hermione_Granger.png	Character - Witch - Gryffindor				R	Unique		If you already have 2 or more Lessons in play, then whenever you use an Action to play a Lesson card, you may play 2 Lesson cards instead of 1.
Hermione, Potion Maker	Chamber_of_Secrets	Hermione_Potion_Maker.png	Character - Witch - Gryffindor				R	Unique		You may use an Action to put up to 2 Lesson cards of different types from your hand into play.
Hermione, Top Student	Diagon_Alley	Hermione_Top_Student.png	Character - Witch - Gryffindor				R	Unique		Once per game, you may search your deck. You may take up to 2 Lesson cards from your deck, show them to your opponent and put them into your hand. Then shuffle your deck.
Hermione's Note	Chamber_of_Secrets	Hermione's_Note.png	Spell	6C			C		Charms	Discard the Adventure your opponent has played. You get the reward.
Hiding From Snape	Base_Set	Hiding_From_Snape.png	Adventure				U			Effect: Your opponent can't play Item cards.  To Solve: Your opponent chooses 4 Item cards in his or her hand and discards them.  Opponent's Reward: Your opponent may search his or her deck for any card and put it into his or her hand. Then your opponent shuffles his or her deck.
History of Magic	Base_Set	History_of_Magic.png	Spell	2C			R		Charms	Look at your opponent's hand. Discard all Adventure cards from it.
History of Magic Homework	Chamber_of_Secrets	History_of_Magic_Homework.png	Spell	3T			C		Transfiguration	Search your deck. You may take a Lesson card from your deck and put it into play. Then shuffle your deck.
Hufflepuff Badger	Chamber_of_Secrets	Hufflepuff_Badger.png	Creature - Hufflepuff - Badger	3F	1	3	C		Creatures	
Homework	Base_Set	Homework.png	Spell	2T			C		Transfiguration	Put up to 2 Lesson cards from your hand into play.
Hospital Bed	Quidditch_Cup	Hospital_Bed.png	Item	9P			R		Potions	You may use an Action to search your deck. You may take a Healing card, show it to your opponent and put it into your hand. Then shuffle your deck.
Hospital Dormitory	Adventures_at_Hogwarts	Hospital_Dormitory.png	Location	7P			R		Potions	When you play this card, discard any other Location from play (yours or your opponent's). Each turn, each player may prevent 4 damage done to him or her. (The damage may be prevented from one or more cards.)
Hospital Wing	Base_Set	Hospital_Wing.png	Spell - Healing	4P			C		Potions	To play this card, discard 1 of your [P] Lessons from play. Shuffle up to 8 non-Healing cards from your discard pile into your deck.
Hover Charm	Chamber_of_Secrets	Hover_Charm.png	Spell	4C			C		Charms	Choose 1 of your opponent's cards in play (other than his or her starting Character) and return it to his or her hand.
Howler	Chamber_of_Secrets	Howler.png	Spell	4C			C		Charms	Do 2 damage to your opponent. Then, if your opponent has any cards in his or her hand, look at them. Choose 1 of those cards and put it on top of his or her deck.
Hufflepuff Match	Quidditch_Cup	Hufflepuff_Match.png	Match	1Q			U		Quidditch	To Win: Do 8 damage to your opponent while this card is in play. (That damage doesn't have to be done all at once.)  Prize: The winner may draw 5 cards, the loser takes 5 damage.
Human Chess Game	Base_Set	Human_Chess_Game.png	Adventure				R			Effect: During each of your opponent's turns, he or she can play cards only if you played 1 or more cards during your previous turn.  To Solve: Your opponent chooses and discards 1 of his or her Characters in play (other than his or her starting Character) or 8 cards from his or her hand.  Opponent's Reward: Your opponent may draw 3 cards.
Hut on the Rock	Adventures_at_Hogwarts	Hut_on_the_Rock.png	Adventure				R			Play this card only if you have at least 5 Lessons in play.  Effect: Before each of your opponent's turns, if he or she has any cards in play (other than his or her starting Character), he or she chooses 1 of them and discards it.  To Solve: Your opponent discards his or her hand.  Opponent's Reward: You take 5 damage.
Illegibilus	Base_Set	Illegibilus.png	Spell	5C			C		Charms	Look at your opponent's hand. Choose 1 of those cards and discard it.
Impersonating Goyle	Chamber_of_Secrets	Impersonating_Goyle.png	Spell	5P			R		Potions	Choose a Character in play (other than a starting Character) and discard it. Then search your deck. You may take a Character card from your deck, show it to your opponent and put it into your hand. Then Shuffle your deck.
In the Spider's Lair	Chamber_of_Secrets	In_the_Spider's_Lair.png	Adventure				R			Effect: Before each of your turns, you may show your opponent any number of Creature cards from your hand. Your opponent takes that much damage.  To Solve: Your opponent takes 10 damage.  Opponent's Reward: If you have any cards in your hand, you choose 1 of them and discard it.
In the Stands	Quidditch_Cup	In_the_Stands.png	Adventure				U			Effect: Your opponent can't play Creature cards.  To solve: Your opponent chooses 4 Creature cards in his or her hand and discard them.  Opponent's Reward: Your opponent may draw a card
Incarcifors	Base_Set	Incarcifors.png	Spell	6T			C		Transfiguration	Choose 1 of your opponent's Creatures in play and discard it.
Incendio	Base_Set	Incendio.png	Spell	3C			R		Charms	Count the number of [C] Lessons you have in play. Do that much damage to a Creature of your choice.
Injured	Diagon_Alley	Injured.png	Spell	5C			U		Charms	Look at your opponent's hand. Discard all cards from it that need [Q] Power.
Into the Forbidden Forest	Quidditch_Cup	Into_the_Forbidden_Forest.png	Adventure				U			Effect: Whenever 1 of your Creatures does damage to your opponent, it does 1 more damage.  To Solve: Your opponent skips a total of 5 Actions. (Those Actions don't need to be one right after the other.)  Opponent's Reward: Your opponent may draw a card.
Invisibility Cloak	Base_Set	Invisibility_Cloak.png	Item - Gryffindor	13T			R	Unique	Transfiguration	Once during each of your opponent's turns, you may prevent all damage done by a Spell card.
Invisibility Section	Chamber_of_Secrets	Invisibility_Section.png	Spell	4T			U		Transfiguration	Choose 1 of your opponent's cards in play (other than his or her starting Character) and discard it. Then he or she chooses 1 of your cards in play (other than your starting Character) and discards it.
Invisible Ink	Chamber_of_Secrets	Invisible_Ink.png	Spell	8T			C		Transfiguration	Choose up to 2 Lessons in play and discard them.
Jawbind Potion	Quidditch_Cup	Jawbind_Potion.png	Spell	4P			U		Potions	Do 2 damage to your opponent. During your opponent's next turn, he or she can't play Spell cards.
Justin Finch-Fletchley	Chamber_of_Secrets	Justin_Finch-Fletchley.png	Character - Wizard - Hufflepuff				R	Unique		You may use an Action to draw 2 cards and then put 2 cards from your hand on the bottom of your deck (in any order).
Keeping Dobby Quiet	Chamber_of_Secrets	Keeping_Dobby_Quiet.png	Adventure				U			Effect: Your opponent discards the card drawn at the start of his or her turns.  To Solve: Your opponent takes 8 damage.  Opponent's Reward: You take 2 damage.
Kelpie	Base_Set	Kelpie.png	Creature - Kelpie	3F	1	5	U		Creatures	To play this card, discard 1 of your [F] Lessons from play. Whenever a Spell card damages you, you may let Kelpie take that damage instead.
Knut	Adventures_at_Hogwarts	Knut.png	Item - Money	1C			C		Charms	You can play only 1 Money card each turn. Before your turn, if this card is in play, discard it and you get 1 more Action this turn.
Lapifors	Diagon_Alley	Lapifors.png	Spell	7T			U		Transfiguration	Choose 1 of your opponent's Creatures in play and discard it. Then search your deck. You may take a Creature card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Leaping Toadstools	Chamber_of_Secrets	Leaping_Toadstools.png	Creature - Plant	1F		4	C		Creatures	Once per turn, you may let Leaping Toadstools take 1 damage that you were going to take.
Lee Jordan	Diagon_Alley	Lee_Jordan.png	Character - Wizard - Gryffindor				R	Unique		You may use an Action to reveal the top 3 cards of your deck. Put all of those cards that need [Q] Power into your hand. Put the rest on the bottom of your deck (in any order).
Letters From No One	Diagon_Alley	Letters_From_No_One.png	Adventure				R			Effect: Your opponent may only use Actions to draw cards.  To Solve: Your opponent discards 5 cards from his or her hand.  Opponent's Reward: Your opponent may draw two cards.
Liquorice Wand	Adventures_at_Hogwarts	Liquorice_Wand.png	Spell - Candy	1C			C		Charms	Do 2 damage to your opponent. Then draw a card. (Liquorice Wand isn't really a Wand.)
Locked In	Chamber_of_Secrets	Locked_In.png	Adventure				U			Effect: Your opponent gets 1 fewer Action on each of his or her turns (even the turn this Adventure is solved). (If this would mean your opponent has fewer than 1 Action, he or she still gets 1 Action.)  To Solve: Your opponent Chooses 4 cards in his or her hand and discards them.  Opponent's Reward: Your opponent may draw 2 cards.
Lockhart's Hair-Care Potions	Chamber_of_Secrets	Lockhart's_Hair-Care_Potions.png	Item	1P			U		Potions	Whenever you play a Character card, you use up 1 Action to play it instead of 2.
Lockhart's Lecture	Chamber_of_Secrets	Lockhart's_Lecture.png	Adventure				R			Effect: Whenever you use an Action to play a Spell, your opponent says 'Brilliant!' If your opponent forgets, he or she takes 3 damage at the ens of that turn.  To Solve: Your opponent lets you have 4 more Actions on your next turn.  Opponent's Reward: You take 3 damage.
Logic Puzzle	Base_Set	Logic_Puzzle.png	Spell	6C			U		Charms	Discard the Adventure your opponent has played. You get the reward.
Looking for Trevor	Adventures_at_Hogwarts	Looking_for_Trevor.png	Adventure				U			Effect: Your opponent can't use Actions to play Creature cards.  To Solve: Your opponent chooses 2 of his or her Lessons in play and discards them.  Opponent's Reward: Your opponent may search his or her deck. He or she may take a Creature card, show it to you, and put it into his or her hand. Then your opponent shuffles his or her deck.
Loop-the-Loops	Adventures_at_Hogwarts	Loop-the-Loops.png	Spell	8Q			C		Quidditch	Do 4 damage to your opponent. Then draw 4 cards.
Lost Notes	Base_Set	Lost_Notes.png	Spell	5T			C		Transfiguration	Choose 1 of your opponent's Items or Lessons in play and discard it.
Madam Irma Pince	Diagon_Alley	Madam_Irma_Pince.png	Character - Witch				R	Unique		You may use an Action to put a Book card from your discard pile into your hand. (Lesson cards aren't Books.)
Madam Malkin's Robes	Diagon_Alley	Madam_Malkin's_Robes.png	Location	4T			U	Unique	Transfiguration	When you play this card, discard any other Location from play (yours or your opponent's). Whenever a card (yours or your opponent's) does damage, it does 1 less damage.
Madam Pomfrey	Adventures_at_Hogwarts	Madam_Pomfrey.png	Character - Healing - Witch				R	Unique		Once per game, you may shuffle up to 12 non-Healing cards from your discard pile into your deck.
Madam Rolanda Hooch	Quidditch_Cup	Madam_Rolanda_Hooch.png	Character - Witch				R	Unique		Provides [Q].  Once per game, you may search your deck. When you do, you may take a Broom card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Magical Drafts and Potions	Diagon_Alley	Magical_Drafts_and_Potions.png	Item - Book	2P			C		Potions	Provides [P].  You may use an Action and discard this card from play to draw 3 cards.
Magical Mess Remover	Chamber_of_Secrets	Magical_Mess_Remover.png	Spell	1P			U		Potions	Choose any number of your cards in play (other than your starting Character) and discard them.
Magical Mishap	Base_Set	Magical_Mishap.png	Spell	2C			C		Charms	Do 3 damage to your opponent.
Malevolent Mixture	Base_Set	Malevolent_Mixture.png	Spell	5P			R		Potions	To play this card, discard 2 of your [P] Lessons from play. Do 10 damage to your opponent or to a Creature of your choice.
Mandrake	Chamber_of_Secrets	Mandrake.png	Creature - Plant	5F	3	1	R		Creatures	You may use an Action and discard Mandrake from play to put a non-Healing Character card from your discard pile into your hand.
Manegrow Potion	Adventures_at_Hogwarts	Manegrow_Potion.png	Spell	6P			C		Potions	Count the number of P Lessons you have in play. Do that much damage to your opponent. Then choose 1 of your P Lessons in play and discard it.
Manticore	Chamber_of_Secrets	Manticore.png	Creature - Manticore	5F	2	4	U		Creatures	
Marble Gargoyle	Adventures_at_Hogwarts	Marble_Gargoyle.png	Creature - Gargoyle	5F	2	3	U		Creatures	When Marble Gargoyle does damage to your opponent, if he or she doesn't have any Creatures in play, it does 3 more damage to him or her.
Marcus Flint	Quidditch_Cup	Marcus_Flint.png	Character - Wizard - Slytherin				R	Unique		Once per game, you may make your opponent choose 3 cards in his or her hand and discard them. (If there are fewer than 3 cards in your opponent's hand, he or she discards them all.)
Meet the Centaurs	Base_Set	Meet_the_Centaurs.png	Adventure				R			Effect: Your opponent plays with his or her hand face up.  To Solve: Your opponent discards his or her hand. (Your opponent may do this even if his or her hand is empty.)  Opponent's Reward: You play with your hand face up for the rest of the game.
Meeting Fluffy	Adventures_at_Hogwarts	Meeting_Fluffy.png	Adventure				R			Play this card only if you have at least 9 Lessons in play.  Effect: Before each of your turns, your opponent takes 12 damage.  To Solve: Your opponent lets you choose 3 of his or her cards in play (other than his or her starting Character) and discard them.  Opponent's Reward: Your opponent gets 1 more Action the turn he or she solves this Adventure.
Memory Charm	Chamber_of_Secrets	Memory_Charm.png	Spell	9C			R		Charms	Your opponent chooses 1 card in his or her hand and discards the rest.
Mice to Snuffboxes	Quidditch_Cup	Mice_to_Snuffboxes.png	Spell	5T			C		Transfiguration	Choose up to 2 Creatures in play and return them to their owners' hands.
Mid-air Collision	Diagon_Alley	Mid-air_Collision.png	Spell	10Q			C		Quidditch	Do 10 damage to your opponent. Then choose 1 of your cards in play (other than your starting Character) and discard it.
Midnight Duel	Adventures_at_Hogwarts	Midnight_Duel.png	Adventure				R			Play this card only if you have at least 5 Lessons in play.  Effect: To use an Action to play a Creature or a Spell card from his or her hand, your opponent must discard another card from his or her hand.  To Solve: Your opponent chooses 4 of his or her cards in play (other than his or her starting Character) and discards them.  Opponent's Reward: Your opponent may draw 4 cards.
Mirror of Erised	Adventures_at_Hogwarts	Mirror_of_Erised.png	Item	10T			R	Unique	Transfiguration	You may use an Action to discard this card from play. If you do, count the number of cards in your hand and discard them. Then search your deck. You may take up to that number of cards from your deck and put them into your hand. Then shuffle your deck.
Missing Parchment	Quidditch_Cup	Missing_Parchment.png	Spell	2C			U		Charms	Look at your opponent's hand. If there are any Spell cards there, choose 1 of them and discard it.
Moaning Myrtle's Bathroom	Chamber_of_Secrets	Moaning_Myrtle's_Bathroom.png	Location	5P			R	Unique	Potions	When you play this card, discard any other Location from play (yours or your opponent's). Before each player's turn, if he or she has at least 2 Characters in play (including his or her starting Character), he or she gets 1 more Action that turn.
Molly Weasley	Chamber_of_Secrets	Molly_Weasley.png	Character - Witch				R	Unique		You may use an Action to search your deck. You may take a Character card for a Weasley character from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Moonseed Poison	Diagon_Alley	Moonseed_Poison.png	Item	8P			C		Potions	When you play this card, do 3 damage to your opponent. You may use an Action and discard this card from play to do 6 damage to your opponent.
Mopsus Potion	Quidditch_Cup	Mopsus_Potion.png	Spell	8P			C		Potions	Do 3 damage to your opponent or to a Creature of your choice.
Mountain Troll	Base_Set	Mountain_Troll.png	Creature - Troll	8F	4	4	R		Creatures	
Mrs. Norris	Base_Set	Mrs_Norris.png	Creature - Cat	2F		1	R	Unique	Creatures	Your opponent plays with his or her hand face up.
Muddy Practice	Adventures_at_Hogwarts	Muddy_Practice.png	Match	1Q			U		Quidditch	Either player may use an Action to discard a card from his or her hand.  To Win: Discard 5 cards from your hand in this way.  Prize: The winner does 10 damage to his or her opponent.
Muffling Draught	Adventures_at_Hogwarts	Muffling_Draught.png	Spell	3P			C		Potions	During your opponent's next turn, he or she can't use Actions to play Spell cards.
Mysterious Egg	Base_Set	Mysterious_Egg.png	Spell	4F			U		Creatures	Search your deck. You may take a Creature card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Nearly Headless Nick	Base_Set	Nearly_Headless_Nick.png	Character - Ghost - Gryffindor				R	Unique		Once per game you may search your deck. When you do, you may take up to 2 Item cards from your deck, show them to your opponent and put them in your hand.  Then shuffle your deck.
Neville Longbottom	Quidditch_Cup	Neville_Longbottom.png	Character - Wizard - Gryffindor				R	Unique		You may prevent all but the first 8 damage done to you each turn.
Nimbus Two Thousand	Quidditch_Cup	Nimbus_Two_Thousand.png	Item - Broom	7Q			R		Quidditch	Provides [Q].  Whenever 1 of your Item or Spell cards that needs [Q] Power does damage, it does 2 more damage. If you play this card, and you already have a Broom in play, discard the old one.
Nimbus Two Thousand and One	Chamber_of_Secrets	Nimbus_Two_Thousand_and_One.png	Item - Broom	9Q			R		Quidditch	Provides 2[Q].  Whenever one of your Quidditch Spells does damage to your opponent, it does 3 more damage. If you play this card, and you already have a Broom in play, discard the old one.
No Hands	Chamber_of_Secrets	No_Hands.png	Spell	3Q			R		Quidditch	Play this card only if there is a Match in play. Discard the top card of your deck. If that card is a Lesson card, you win the current Match (you get the prize). Otherwise, you take 3 damage.
No Time to Play	Quidditch_Cup	No_Time_to_Play.png	Spell	4T			R		Transfiguration	Discard all Matches and Items that need [Q] Power from play (even your own). (If a match is discarded, no one gets the prize.)
Norbert	Base_Set	Norbert.png	Creature - Dragon	4F	5	3	R	Unique	Creatures	To play this card, discard 2 of your [F] Lessons from play.
Norwegian Ridgeback	Chamber_of_Secrets	Norwegian_Ridgeback.png	Creature - Dragon	8F	7	5	R		Creatures	To play this card, return 2 of your [F] Lessons from play to your hand.
Noxious Potion	Base_Set	Noxious_Potion.png	Spell	3P			C		Potions	To play this card, discard 1 of your [P] Lessons from play. Do 5 damage to your opponent or to a Creature of your choice.
Nurture	Base_Set	Nurture.png	Spell	2F			U		Creatures	Remove all damage counters from all of your Creatures.
Obliviate	Base_Set	Obliviate.png	Spell	12C			R		Charms	Your opponent discards his or her hand.
Oliver Wood	Quidditch_Cup	Oliver_Wood.png	Character - Wizard - Gryffindor				R	Unique		Once per game, when 1 of your Spell cards that needs [Q] Power does damage, you may have it do 8 more damage.
Ollivanders	Base_Set	Ollivanders.png	Spell	1C			U		Charms	Put an Item card from your discard pile into your hand.
Ouch!	Quidditch_Cup	Ouch.png	Spell	5Q			C		Quidditch	Do 5 damage to your opponent. Then, if your opponent has any cards in his or her hand, he or she chooses 1 of them and discards it.
Out of Control	Quidditch_Cup	Out_of_Control.png	Spell	10Q			R		Quidditch	Do 6 damage to your opponent. Then your opponent chooses 4 cards in his or her hand and discards them. (If there are fewer than 4 cards in your opponent's hand, he or she discards them all.)
Out of the Woods	Base_Set	Out_of_the_Woods.png	Spell	5C			C		Charms	Look at your opponent's hand. Discard all Creature cards from it.
Overdue Homework	Chamber_of_Secrets	Overdue_Homework.png	Spell	2C			C		Charms	Look at your opponent's hand. Count the number of Lesson cards there. Do that much damage to your opponent.
Owl Post	Adventures_at_Hogwarts	Owl_Post.png	Spell	6F			C		Creatures	Draw 3 cards.
Peeves	Adventures_at_Hogwarts	Peeves.png	Character - Ghost				R	Unique		Once per game, you may discard your hand and then draw 7 cards to make your opponent discard his or her hand and then draw 7 cards.
Peeves Causes Trouble	Base_Set	Peeves_Causes_Trouble.png	Adventure				U			Effect: Whenever your opponent draws 1 or more cards, he or she then takes 1 damage.  To Solve: Your opponent skips a total of 5 Actions. (Those Actions don't need to be one right after the other.)  Opponent's Reward: You take 3 damage.
Penalty Shot	Quidditch_Cup	Penalty_Shot.png	Spell	5Q			U		Quidditch	Draw 3 cards.
